time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus0;0.003;0.0;19.16;18.66;18.73
1;4.165;0.146;19.26;18.56;18.73
2;4.162;0.153;19.26;18.66;18.63
3;4.162;0.153;19.26;18.56;18.83
4;4.161;0.153;19.16;18.56;18.73
5;4.161;0.153;19.26;18.56;18.73
6;4.161;0.153;19.26;18.66;18.73
7;4.161;0.153;19.26;18.56;18.53
8;4.161;0.153;19.26;18.66;18.63
9;4.161;0.153;19.26;18.56;18.73
10;4.161;0.153;19.26;18.56;18.63
11;4.161;0.153;19.16;18.56;18.73
12;4.16;0.153;19.26;18.56;19.03
13;4.16;0.153;19.26;18.66;18.83
14;4.16;0.153;19.26;18.56;18.83
15;4.16;0.153;19.26;19.06;18.73
16;4.16;0.153;19.26;18.56;18.63
17;4.16;0.153;19.16;18.66;18.73
18;4.16;0.153;19.37;18.56;18.63
19;4.16;0.153;19.26;18.56;18.73
20;4.16;0.153;19.26;18.56;18.83
21;4.16;0.153;19.26;18.56;18.73
22;4.159;0.153;19.26;18.56;18.73
23;4.159;0.153;19.26;18.66;18.73
24;4.159;0.153;19.26;18.66;18.73
25;4.159;0.153;19.37;18.66;18.63
26;4.159;0.153;19.26;18.56;18.63
27;4.159;0.153;19.26;18.56;18.73
28;4.159;0.153;19.26;18.56;18.73
29;4.159;0.152;19.26;18.56;18.73
30;4.159;0.153;19.26;18.76;18.73
31;4.159;0.152;19.26;18.56;18.73
32;4.159;0.152;19.26;18.56;18.73
33;4.159;0.153;19.26;18.66;18.73
34;4.158;0.152;19.16;18.56;18.73
35;4.158;0.153;19.26;18.56;18.73
36;4.158;0.153;19.26;18.46;18.93
37;4.158;0.153;19.26;18.56;18.83
38;4.158;0.153;19.06;18.66;18.83
39;4.158;0.153;19.16;18.66;18.73
40;4.158;0.153;19.16;18.56;18.93
41;4.158;0.153;19.26;18.56;18.73
42;4.158;0.153;19.16;18.56;18.83
43;4.158;0.153;19.16;18.56;18.73
44;4.158;0.153;19.26;18.56;18.83
45;4.158;0.153;19.26;18.76;18.73
46;4.158;0.153;19.26;18.56;18.73
47;4.157;0.153;19.16;18.46;18.73
48;4.157;0.153;19.16;18.76;18.73
49;4.157;0.153;19.16;18.66;18.73
50;4.157;0.153;19.16;18.46;18.73
51;4.157;0.153;19.26;18.66;18.73
52;4.157;0.153;19.16;18.66;18.73
