time;voltage;current;soc
0.0;2.977;0.155;1.3979076479076479e-05
1.0;2.998;0.155;2.7958152958152958e-05
2.0;3.017;0.155;4.193722943722944e-05
3.0;3.03;0.154;5.582611832611832e-05
4.0;3.037;0.155;6.98051948051948e-05
5.0;3.042;0.155;8.378427128427127e-05
6.0;3.046;0.154;9.767316017316016e-05
7.0;3.049;0.155;0.00011165223665223663
8.0;3.052;0.155;0.0001256313131313131
9.0;3.053;0.155;0.00013961038961038958
10.0;3.055;0.155;0.00015358946608946605
11.0;3.056;0.155;0.00016756854256854252
12.0;3.058;0.155;0.000181547619047619
13.0;3.058;0.155;0.00019552669552669547
14.0;3.06;0.155;0.00020950577200577194
15.0;3.061;0.155;0.0002234848484848484
16.0;3.061;0.155;0.00023746392496392488
17.0;3.062;0.155;0.0002514430014430014
18.0;3.063;0.155;0.0002654220779220779
19.0;3.063;0.155;0.0002794011544011544
20.0;3.064;0.155;0.0002933802308802309
21.0;3.065;0.155;0.0003073593073593074
22.0;3.065;0.155;0.0003213383838383839
23.0;3.065;0.155;0.0003353174603174604
24.0;3.066;0.155;0.0003492965367965369
25.0;3.066;0.155;0.0003632756132756134
26.0;3.067;0.155;0.0003772546897546899
27.0;3.067;0.155;0.0003912337662337664
28.0;3.068;0.155;0.0004052128427128429
29.0;3.069;0.155;0.0004191919191919194
30.0;3.069;0.155;0.0004331709956709959
31.0;3.069;0.155;0.0004471500721500724
32.0;3.07;0.155;0.0004611291486291489
33.0;3.07;0.155;0.0004751082251082254
34.0;3.07;0.155;0.0004890873015873018
35.0;3.071;0.155;0.0005030663780663783
36.0;3.071;0.155;0.0005170454545454547
37.0;3.072;0.155;0.0005310245310245312
38.0;3.072;0.154;0.0005449134199134201
39.0;3.073;0.155;0.0005588924963924965
40.0;3.073;0.155;0.000572871572871573
41.0;3.073;0.154;0.0005867604617604619
42.0;3.074;0.155;0.0006007395382395383
43.0;3.073;0.155;0.0006147186147186148
44.0;3.075;0.155;0.0006286976911976912
45.0;3.074;0.155;0.0006426767676767677
46.0;3.075;0.155;0.0006566558441558441
47.0;3.075;0.155;0.0006706349206349205
48.0;3.076;0.155;0.000684613997113997
49.0;3.076;0.155;0.0006985930735930734
50.0;3.076;0.155;0.0007125721500721499
51.0;3.077;0.155;0.0007265512265512263
52.0;3.077;0.155;0.0007405303030303028
53.0;3.077;0.155;0.0007545093795093792
54.0;3.078;0.155;0.0007684884559884557
55.0;3.078;0.155;0.0007824675324675321
56.0;3.079;0.154;0.000796356421356421
57.0;3.079;0.155;0.0008103354978354975
58.0;3.079;0.155;0.0008243145743145739
59.0;3.079;0.154;0.0008382034632034628
60.0;3.079;0.155;0.0008521825396825393
61.0;3.08;0.155;0.0008661616161616157
62.0;3.08;0.155;0.0008801406926406922
63.0;3.081;0.155;0.0008941197691197686
64.0;3.081;0.155;0.000908098845598845
65.0;3.08;0.155;0.0009220779220779215
66.0;3.081;0.155;0.0009360569985569979
67.0;3.081;0.155;0.0009500360750360744
68.0;3.082;0.155;0.0009640151515151508
69.0;3.082;0.155;0.0009779942279942273
70.0;3.082;0.155;0.0009919733044733037
71.0;3.083;0.155;0.0010059523809523802
72.0;3.083;0.155;0.0010199314574314566
73.0;3.083;0.155;0.001033910533910533
74.0;3.083;0.155;0.0010478896103896095
75.0;3.083;0.155;0.001061868686868686
76.0;3.084;0.155;0.0010758477633477624
77.0;3.084;0.155;0.0010898268398268388
78.0;3.085;0.155;0.0011038059163059153
79.0;3.086;0.155;0.0011177849927849917
80.0;3.086;0.155;0.0011317640692640682
81.0;3.086;0.155;0.0011457431457431446
82.0;3.085;0.155;0.001159722222222221
83.0;3.086;0.155;0.0011737012987012975
84.0;3.087;0.155;0.001187680375180374
85.0;3.087;0.154;0.0012015692640692628
86.0;3.087;0.155;0.0012155483405483392
87.0;3.087;0.155;0.0012295274170274156
88.0;3.087;0.154;0.0012434163059163045
89.0;3.087;0.155;0.001257395382395381
90.0;3.088;0.155;0.0012713744588744573
91.0;3.088;0.155;0.0012853535353535338
92.0;3.088;0.154;0.0012992424242424226
93.0;3.088;0.155;0.001313221500721499
94.0;3.089;0.154;0.0013271103896103878
95.0;3.089;0.155;0.0013410894660894643
96.0;3.089;0.155;0.0013550685425685407
97.0;3.089;0.155;0.0013690476190476172
98.0;3.09;0.155;0.0013830266955266936
99.0;3.09;0.155;0.00139700577200577
100.0;3.09;0.154;0.0014108946608946589
101.0;3.091;0.155;0.0014248737373737353
102.0;3.091;0.155;0.0014388528138528118
103.0;3.091;0.155;0.0014528318903318882
104.0;3.091;0.155;0.0014668109668109647
105.0;3.092;0.154;0.0014806998556998535
106.0;3.092;0.155;0.00149467893217893
107.0;3.092;0.155;0.0015086580086580063
108.0;3.092;0.155;0.0015226370851370828
109.0;3.092;0.155;0.0015366161616161592
110.0;3.093;0.154;0.001550505050505048
111.0;3.093;0.155;0.0015644841269841245
112.0;3.093;0.155;0.001578463203463201
113.0;3.094;0.155;0.0015924422799422774
114.0;3.094;0.155;0.0016064213564213538
115.0;3.094;0.155;0.0016204004329004303
116.0;3.094;0.154;0.001634289321789319
117.0;3.095;0.155;0.0016482683982683955
118.0;3.095;0.155;0.001662247474747472
119.0;3.095;0.154;0.0016761363636363608
120.0;3.095;0.155;0.0016901154401154372
121.0;3.095;0.155;0.0017040945165945137
122.0;3.096;0.155;0.00171807359307359
123.0;3.096;0.155;0.0017320526695526665
124.0;3.096;0.155;0.001746031746031743
125.0;3.097;0.155;0.0017600108225108194
126.0;3.097;0.155;0.0017739898989898959
127.0;3.097;0.154;0.0017878787878787847
128.0;3.097;0.155;0.0018018578643578611
129.0;3.097;0.154;0.00181574675324675
130.0;3.098;0.155;0.0018297258297258264
131.0;3.097;0.155;0.0018437049062049028
132.0;3.098;0.155;0.0018576839826839793
133.0;3.099;0.154;0.001871572871572868
