time;voltage;current;soc
0.0;4.16;0.0;1.0
1.0;4.085;0.77;0.9999305555555555
2.0;4.084;0.77;0.9998611111111111
3.0;4.083;0.77;0.9997916666666666
4.0;4.082;0.77;0.9997222222222222
5.0;4.081;0.77;0.9996527777777777
6.0;4.081;0.77;0.9995833333333333
7.0;4.08;0.77;0.9995138888888888
8.0;4.079;0.77;0.9994444444444444
9.0;4.079;0.77;0.9993749999999999
10.0;4.078;0.77;0.9993055555555554
11.0;4.078;0.77;0.999236111111111
12.0;4.077;0.77;0.9991666666666665
13.0;4.077;0.77;0.9990972222222221
14.0;4.076;0.77;0.9990277777777776
15.0;4.076;0.77;0.9989583333333332
16.0;4.075;0.77;0.9988888888888887
17.0;4.075;0.77;0.9988194444444443
18.0;4.074;0.77;0.9987499999999998
19.0;4.074;0.77;0.9986805555555553
20.0;4.073;0.77;0.9986111111111109
21.0;4.073;0.77;0.9985416666666664
22.0;4.073;0.77;0.998472222222222
23.0;4.072;0.77;0.9984027777777775
24.0;4.072;0.77;0.9983333333333331
25.0;4.072;0.77;0.9982638888888886
26.0;4.071;0.77;0.9981944444444442
27.0;4.071;0.77;0.9981249999999997
28.0;4.07;0.77;0.9980555555555553
29.0;4.07;0.77;0.9979861111111108
30.0;4.07;0.77;0.9979166666666663
31.0;4.069;0.77;0.9978472222222219
32.0;4.069;0.77;0.9977777777777774
33.0;4.069;0.77;0.997708333333333
34.0;4.069;0.77;0.9976388888888885
35.0;4.068;0.77;0.9975694444444441
36.0;4.068;0.77;0.9974999999999996
37.0;4.068;0.77;0.9974305555555552
38.0;4.067;0.77;0.9973611111111107
39.0;4.067;0.77;0.9972916666666662
40.0;4.067;0.77;0.9972222222222218
41.0;4.067;0.77;0.9971527777777773
42.0;4.066;0.77;0.9970833333333329
43.0;4.066;0.77;0.9970138888888884
44.0;4.066;0.77;0.996944444444444
45.0;4.065;0.77;0.9968749999999995
46.0;4.065;0.77;0.9968055555555551
47.0;4.065;0.77;0.9967361111111106
48.0;4.065;0.77;0.9966666666666661
49.0;4.064;0.77;0.9965972222222217
50.0;4.064;0.77;0.9965277777777772
51.0;4.064;0.77;0.9964583333333328
52.0;4.064;0.77;0.9963888888888883
53.0;4.063;0.77;0.9963194444444439
54.0;4.063;0.77;0.9962499999999994
55.0;4.014;1.342;0.9961289682539677
56.0;3.99;1.54;0.9959900793650788
57.0;3.989;1.54;0.9958511904761899
58.0;3.988;1.54;0.995712301587301
59.0;3.987;1.54;0.995573412698412
60.0;3.986;1.54;0.9954345238095231
61.0;3.986;1.54;0.9952956349206342
62.0;3.985;1.54;0.9951567460317453
63.0;3.984;1.54;0.9950178571428564
64.0;3.983;1.54;0.9948789682539675
65.0;3.983;1.54;0.9947400793650786
66.0;3.982;1.54;0.9946011904761897
67.0;3.981;1.54;0.9944623015873008
68.0;3.981;1.54;0.9943234126984118
69.0;3.98;1.54;0.9941845238095229
70.0;3.98;1.54;0.994045634920634
71.0;3.979;1.54;0.9939067460317451
72.0;3.979;1.54;0.9937678571428562
73.0;3.978;1.54;0.9936289682539673
74.0;3.978;1.54;0.9934900793650784
75.0;3.977;1.54;0.9933511904761895
76.0;3.977;1.54;0.9932123015873006
77.0;3.976;1.54;0.9930734126984117
78.0;3.976;1.54;0.9929345238095227
79.0;3.976;1.54;0.9927956349206338
80.0;3.975;1.54;0.9926567460317449
81.0;3.975;1.54;0.992517857142856
82.0;3.974;1.54;0.9923789682539671
83.0;3.974;1.54;0.9922400793650782
84.0;3.973;1.54;0.9921011904761893
85.0;3.973;1.54;0.9919623015873004
86.0;3.973;1.54;0.9918234126984115
87.0;3.972;1.54;0.9916845238095225
88.0;3.972;1.54;0.9915456349206336
89.0;3.972;1.54;0.9914067460317447
90.0;3.971;1.54;0.9912678571428558
91.0;3.971;1.54;0.9911289682539669
92.0;3.971;1.54;0.990990079365078
93.0;3.97;1.54;0.9908511904761891
94.0;3.97;1.54;0.9907123015873002
95.0;3.969;1.54;0.9905734126984113
96.0;3.969;1.54;0.9904345238095223
97.0;3.969;1.54;0.9902956349206334
98.0;3.969;1.54;0.9901567460317445
99.0;3.968;1.54;0.9900178571428556
100.0;3.968;1.54;0.9898789682539667
101.0;3.968;1.54;0.9897400793650778
102.0;3.967;1.54;0.9896011904761889
103.0;3.967;1.54;0.9894623015873
104.0;3.967;1.54;0.9893234126984111
105.0;3.966;1.54;0.9891845238095222
106.0;3.966;1.54;0.9890456349206332
107.0;3.966;1.54;0.9889067460317443
108.0;3.966;1.54;0.9887678571428554
109.0;3.965;1.54;0.9886289682539665
110.0;3.965;1.54;0.9884900793650776
111.0;3.828;3.08;0.9882123015872998
112.0;3.825;3.08;0.987934523809522
113.0;3.824;3.08;0.9876567460317441
114.0;3.822;3.08;0.9873789682539663
115.0;3.821;3.08;0.9871011904761885
116.0;3.82;3.08;0.9868234126984107
117.0;3.818;3.08;0.9865456349206329
118.0;3.817;3.08;0.986267857142855
119.0;3.816;3.08;0.9859900793650772
120.0;3.815;3.08;0.9857123015872994
121.0;3.815;3.08;0.9854345238095216
122.0;3.814;3.08;0.9851567460317437
123.0;3.813;3.08;0.9848789682539659
124.0;3.812;3.08;0.9846011904761881
125.0;3.812;3.08;0.9843234126984103
126.0;3.811;3.08;0.9840456349206325
127.0;3.81;3.08;0.9837678571428546
128.0;3.809;3.08;0.9834900793650768
129.0;3.809;3.08;0.983212301587299
130.0;3.808;3.08;0.9829345238095212
131.0;3.808;3.08;0.9826567460317434
132.0;3.807;3.08;0.9823789682539655
133.0;3.806;3.08;0.9821011904761877
134.0;3.806;3.08;0.9818234126984099
135.0;3.805;3.08;0.9815456349206321
136.0;3.805;3.08;0.9812678571428542
137.0;3.804;3.08;0.9809900793650764
138.0;3.804;3.08;0.9807123015872986
139.0;3.803;3.08;0.9804345238095208
140.0;3.803;3.08;0.980156746031743
141.0;3.802;3.08;0.9798789682539651
142.0;3.802;3.08;0.9796011904761873
143.0;3.801;3.08;0.9793234126984095
144.0;3.801;3.08;0.9790456349206317
145.0;3.801;3.08;0.9787678571428539
146.0;3.8;3.08;0.978490079365076
147.0;3.8;3.08;0.9782123015872982
148.0;3.799;3.08;0.9779345238095204
149.0;3.799;3.08;0.9776567460317426
150.0;3.798;3.08;0.9773789682539648
151.0;3.798;3.08;0.9771011904761869
152.0;3.798;3.08;0.9768234126984091
153.0;3.797;3.08;0.9765456349206313
154.0;3.797;3.08;0.9762678571428535
155.0;3.797;3.08;0.9759900793650756
156.0;3.796;3.08;0.9757123015872978
157.0;3.796;3.08;0.97543452380952
158.0;3.795;3.08;0.9751567460317422
159.0;3.795;3.08;0.9748789682539644
160.0;3.795;3.08;0.9746011904761865
161.0;3.794;3.08;0.9743234126984087
162.0;3.794;3.08;0.9740456349206309
163.0;3.794;3.08;0.9737678571428531
164.0;3.793;3.08;0.9734900793650753
165.0;3.793;3.08;0.9732123015872974
166.0;3.7;4.235;0.972830357142853
167.0;3.662;4.62;0.9724136904761864
168.0;3.66;4.62;0.9719970238095198
169.0;3.659;4.62;0.9715803571428532
170.0;3.657;4.62;0.9711636904761866
171.0;3.656;4.62;0.9707470238095199
172.0;3.655;4.62;0.9703303571428533
173.0;3.654;4.62;0.9699136904761867
174.0;3.653;4.62;0.9694970238095201
175.0;3.652;4.62;0.9690803571428535
176.0;3.651;4.62;0.9686636904761868
177.0;3.65;4.62;0.9682470238095202
178.0;3.65;4.62;0.9678303571428536
179.0;3.649;4.62;0.967413690476187
180.0;3.648;4.62;0.9669970238095204
181.0;3.647;4.62;0.9665803571428537
182.0;3.647;4.62;0.9661636904761871
183.0;3.646;4.62;0.9657470238095205
184.0;3.646;4.62;0.9653303571428539
185.0;3.645;4.62;0.9649136904761872
186.0;3.644;4.62;0.9644970238095206
187.0;3.644;4.62;0.964080357142854
188.0;3.643;4.62;0.9636636904761874
189.0;3.643;4.62;0.9632470238095208
190.0;3.642;4.62;0.9628303571428541
191.0;3.642;4.62;0.9624136904761875
192.0;3.641;4.62;0.9619970238095209
193.0;3.641;4.62;0.9615803571428543
194.0;3.64;4.62;0.9611636904761877
195.0;3.64;4.62;0.960747023809521
196.0;3.639;4.62;0.9603303571428544
197.0;3.639;4.62;0.9599136904761878
198.0;3.639;4.62;0.9594970238095212
199.0;3.638;4.62;0.9590803571428546
200.0;3.638;4.62;0.9586636904761879
201.0;3.637;4.62;0.9582470238095213
202.0;3.637;4.62;0.9578303571428547
203.0;3.637;4.62;0.9574136904761881
204.0;3.636;4.62;0.9569970238095215
205.0;3.636;4.62;0.9565803571428548
206.0;3.635;4.62;0.9561636904761882
207.0;3.635;4.62;0.9557470238095216
208.0;3.635;4.62;0.955330357142855
209.0;3.634;4.62;0.9549136904761883
210.0;3.634;4.62;0.9544970238095217
211.0;3.634;4.62;0.9540803571428551
212.0;3.633;4.62;0.9536636904761885
213.0;3.633;4.62;0.9532470238095219
214.0;3.633;4.62;0.9528303571428552
215.0;3.632;4.62;0.9524136904761886
216.0;3.632;4.62;0.951997023809522
