time;voltage;current;soc
0.0;4.166;0.0;1.0
1.0;4.166;0.0;1.0
2.0;4.166;0.0;1.0
3.0;4.166;0.0;1.0
4.0;4.166;0.0;1.0
5.0;4.166;0.0;1.0
6.0;4.166;0.0;1.0
7.0;4.166;0.0;1.0
8.0;4.166;0.0;1.0
9.0;4.166;0.0;1.0
10.0;4.166;0.0;1.0
11.0;4.166;0.0;1.0
12.0;4.166;0.0;1.0
13.0;4.166;0.0;1.0
14.0;4.166;0.0;1.0
15.0;4.166;0.0;1.0
16.0;4.152;0.152;0.9999862914862915
17.0;4.151;0.153;0.9999724927849928
18.0;4.151;0.152;0.9999587842712843
19.0;4.151;0.153;0.9999449855699856
20.0;4.151;0.153;0.9999311868686869
21.0;4.151;0.153;0.9999173881673882
22.0;4.15;0.153;0.9999035894660895
23.0;4.15;0.153;0.9998897907647908
24.0;4.15;0.153;0.9998759920634921
25.0;4.15;0.153;0.9998621933621934
26.0;4.15;0.153;0.9998483946608947
27.0;4.15;0.153;0.999834595959596
28.0;4.15;0.153;0.9998207972582973
29.0;4.15;0.153;0.9998069985569986
30.0;4.15;0.152;0.9997932900432901
31.0;4.149;0.153;0.9997794913419914
32.0;4.149;0.153;0.9997656926406927
33.0;4.149;0.152;0.9997519841269842
34.0;4.149;0.153;0.9997381854256855
35.0;4.149;0.153;0.9997243867243868
36.0;4.149;0.153;0.9997105880230881
37.0;4.149;0.153;0.9996967893217894
38.0;4.149;0.153;0.9996829906204907
39.0;4.149;0.153;0.999669191919192
40.0;4.149;0.153;0.9996553932178933
41.0;4.149;0.153;0.9996415945165946
42.0;4.148;0.153;0.9996277958152959
43.0;4.148;0.153;0.9996139971139972
44.0;4.148;0.153;0.9996001984126985
45.0;4.148;0.153;0.9995863997113998
46.0;4.148;0.153;0.9995726010101011
47.0;4.148;0.152;0.9995588924963926
48.0;4.148;0.153;0.9995450937950939
49.0;4.148;0.153;0.9995312950937952
50.0;4.148;0.153;0.9995174963924965
51.0;4.148;0.153;0.9995036976911978
52.0;4.148;0.153;0.9994898989898992
53.0;4.148;0.153;0.9994761002886005
54.0;4.148;0.153;0.9994623015873018
55.0;4.148;0.153;0.9994485028860031
56.0;4.147;0.153;0.9994347041847044
57.0;4.147;0.153;0.9994209054834057
58.0;4.147;0.153;0.999407106782107
59.0;4.147;0.153;0.9993933080808083
60.0;4.147;0.153;0.9993795093795096
