Tempo_s,Corrente_A,Tensao_V,Temperatura_C
0.0,0.77,4.096353936409843,20.0
1.0,0.77,4.123216189043951,20.00177990533373
2.0,0.77,4.122989970036598,20.003491281631213
3.0,0.77,4.1226601558348,20.005192249164477
4.0,0.77,4.122310532950281,20.006888456475448
5.0,0.77,4.121958924242886,20.008582026574658
6.0,0.77,4.121611066084272,20.01027398335153
7.0,0.77,4.12126891061829,20.011964910546524
8.0,0.77,4.120933310562278,20.013655130964853
9.0,0.77,4.120604507587442,20.015344842951787
10.0,0.77,4.120282715638152,20.01703415769771
11.0,0.77,4.119967466177947,20.0187231592186
12.0,0.77,4.119659261258395,20.020411849909255
13.0,0.77,4.119357487768004,20.022100255855484
14.0,0.77,4.119061913332284,20.023788371095492
15.0,0.77,4.118772354906284,20.025476175463965
16.0,0.77,4.118489165929417,20.027163620595307
17.0,0.77,4.118212396766853,20.028850652070613
18.0,0.77,4.117941359574418,20.030537264765503
19.0,0.77,4.117675990222223,20.032223418128083
20.0,0.77,4.11741621083958,20.033909069842153
21.0,0.77,4.117162737311267,20.035594090634632
22.0,0.77,4.116914715171577,20.037278504834727
23.0,0.77,4.116671964426432,20.038962273166646
24.0,0.77,4.116434346014635,20.040645351120514
25.0,0.77,4.1162020627216815,20.042327634277093
26.0,0.77,4.115974889246454,20.04400906912674
27.0,0.77,4.115752229807734,20.045689670644173
28.0,0.77,4.115534986578493,20.04736914447281
29.0,0.77,4.1153197004206294,20.049048193151187
30.0,0.77,4.115110655208676,20.05072571376194
31.0,0.77,4.114904617968888,20.052402390347844
32.0,0.77,4.11470150721857,20.054078231937485
33.0,0.77,4.11450322508307,20.055752539122853
34.0,0.77,4.114307873710488,20.057425797459207
35.0,0.77,4.114115063551675,20.05909812018311
36.0,0.77,4.113926201871264,20.060768859387625
37.0,0.77,4.113740171271093,20.062438331045218
38.0,0.77,4.113556351757962,20.06410677398978
39.0,0.77,4.113375749899066,20.065773615991073
40.0,0.77,4.113197862059566,20.06743896105557
41.0,0.77,4.113021899132228,20.06910319235214
42.0,0.77,4.112848542242479,20.07076583512492
43.0,0.77,4.112678973695544,20.07242584832174
44.0,0.77,4.112510430423357,20.07408514985175
45.0,0.77,4.112341887151171,20.07574445138176
46.0,0.77,4.11217820847017,20.077399790356797
47.0,0.77,4.112015397940836,20.07905442216065
48.0,0.77,4.111852587411502,20.0807090539645
49.0,0.77,4.111694329724546,20.082359219105417
50.0,0.77,4.111536521659897,20.084008943134794
51.0,0.77,4.111378713595248,20.08565866716417
52.0,0.77,4.111225075127308,20.087303411292453
53.0,0.77,4.111071558196787,20.08894801026417
54.0,0.77,4.110918165195219,20.090592432296447
55.0,0.77,4.110768377208655,20.092231707272088
56.0,0.77,4.11061858922209,20.093870982247733
57.0,0.77,4.1104690993745185,20.09550973541104
58.0,0.77,4.110322456593636,20.097143505547773
59.0,0.77,4.110175813812754,20.098777275684505
60.0,0.77,4.110029575744045,20.10041015986613
61.0,0.77,4.109885521484047,20.102038263473762
62.0,0.77,4.109741467224048,20.1036663670814
63.0,0.77,4.10959788273806,20.10529320328176
64.0,0.77,4.109455984333727,20.106915490588175
65.0,0.77,4.109314085929394,20.10853777789459
66.0,0.77,4.109172685664309,20.11015840182693
67.0,0.77,4.1090325697453585,20.11177473710291
68.0,0.77,4.108892453826407,20.113391072378885
69.0,0.77,4.108752845253647,20.115005336234358
70.0,0.77,4.108614217063809,20.116615597329343
71.0,0.77,4.108475588873972,20.118225858424324
72.0,0.77,4.108337471865342,20.119833630021592
73.0,0.77,4.108200113445533,20.121437707224175
74.0,0.77,4.108062755025723,20.12304178442676
75.0,0.77,4.107925911070838,20.124642945194008
76.0,0.77,4.1077896610890745,20.12624073880421
77.0,0.77,4.10765341110731,20.127838532414415
78.0,0.77,4.107517694982861,20.129432976675336
79.0,0.77,4.107382460533079,20.13102439897392
80.0,0.77,4.107247226083296,20.132615821272505
81.0,0.77,4.107112579723913,20.134203456254507
82.0,0.77,4.1069783467060335,20.135788429307098
83.0,0.77,4.106844113688154,20.13737340235969
84.0,0.77,4.106710545451669,20.138954146201623
85.0,0.77,4.106577337055354,20.140532600810005
86.0,0.77,4.106444128659039,20.142111055418383
87.0,0.77,4.106311661100454,20.14368483581907
88.0,0.77,4.106179495602893,20.145256710409758
89.0,0.77,4.106047330105331,20.146828585000442
90.0,0.77,4.105915991540534,20.14839533833715
91.0,0.77,4.105784897308688,20.149960578502338
